instance_name,source_kind,source_path,graph_type,n,repetition,seed,initial_cost,best_cost,reference_cost,relative_error_percent,time_ms,iterations,accepted_moves,improved_moves,best_tour
asym_n6_01,generated,data/generated/asym_n6_01.txt,asymmetric,6,1,18345,1073,798,798,0.000000,21.206250,200000,31356,2,3 0 4 5 2 1
asym_n6_01,generated,data/generated/asym_n6_01.txt,asymmetric,6,2,18346,1073,798,798,0.000000,21.729750,200000,31206,2,5 2 1 3 0 4
asym_n6_01,generated,data/generated/asym_n6_01.txt,asymmetric,6,3,18347,1073,798,798,0.000000,23.088625,200000,31893,3,2 1 3 0 4 5
asym_n6_01,generated,data/generated/asym_n6_01.txt,asymmetric,6,4,18348,1073,798,798,0.000000,19.286542,200000,31199,2,0 4 5 2 1 3
asym_n6_01,generated,data/generated/asym_n6_01.txt,asymmetric,6,5,18349,1073,798,798,0.000000,17.474417,200000,31754,2,0 4 5 2 1 3
asym_n6_02,generated,data/generated/asym_n6_02.txt,asymmetric,6,1,18345,2925,2778,2778,0.000000,17.310625,200000,46210,1,5 3 2 4 1 0
asym_n6_02,generated,data/generated/asym_n6_02.txt,asymmetric,6,2,18346,2925,2778,2778,0.000000,17.233125,200000,43916,2,0 5 3 2 4 1
asym_n6_02,generated,data/generated/asym_n6_02.txt,asymmetric,6,3,18347,2925,2778,2778,0.000000,17.235375,200000,46583,2,5 3 2 4 1 0
asym_n6_02,generated,data/generated/asym_n6_02.txt,asymmetric,6,4,18348,2925,2778,2778,0.000000,17.165416,200000,44327,3,5 3 2 4 1 0
asym_n6_02,generated,data/generated/asym_n6_02.txt,asymmetric,6,5,18349,2925,2778,2778,0.000000,17.300958,200000,45923,1,5 3 2 4 1 0
asym_n6_03,generated,data/generated/asym_n6_03.txt,asymmetric,6,1,18345,960,960,960,0.000000,17.051375,200000,29760,0,1 3 2 5 0 4
asym_n6_03,generated,data/generated/asym_n6_03.txt,asymmetric,6,2,18346,960,960,960,0.000000,16.943792,200000,29593,0,1 3 2 5 0 4
asym_n6_03,generated,data/generated/asym_n6_03.txt,asymmetric,6,3,18347,960,960,960,0.000000,16.980500,200000,29179,0,1 3 2 5 0 4
asym_n6_03,generated,data/generated/asym_n6_03.txt,asymmetric,6,4,18348,960,960,960,0.000000,17.087500,200000,29486,0,1 3 2 5 0 4
asym_n6_03,generated,data/generated/asym_n6_03.txt,asymmetric,6,5,18349,960,960,960,0.000000,17.734834,200000,29386,0,1 3 2 5 0 4
sym_n6_01,generated,data/generated/sym_n6_01.txt,symmetric,6,1,18345,1374,1273,1273,0.000000,17.526042,200000,71393,1,4 5 0 3 1 2
sym_n6_01,generated,data/generated/sym_n6_01.txt,symmetric,6,2,18346,1374,1273,1273,0.000000,17.344833,200000,71147,1,2 4 5 0 3 1
sym_n6_01,generated,data/generated/sym_n6_01.txt,symmetric,6,3,18347,1374,1273,1273,0.000000,17.318333,200000,71352,1,0 5 4 2 1 3
sym_n6_01,generated,data/generated/sym_n6_01.txt,symmetric,6,4,18348,1374,1273,1273,0.000000,17.220084,200000,71465,1,0 3 1 2 4 5
sym_n6_01,generated,data/generated/sym_n6_01.txt,symmetric,6,5,18349,1374,1273,1273,0.000000,17.146750,200000,71028,1,1 3 0 5 4 2
sym_n6_02,generated,data/generated/sym_n6_02.txt,symmetric,6,1,18345,1809,1809,1809,0.000000,17.346958,200000,74462,0,0 4 3 2 5 1
sym_n6_02,generated,data/generated/sym_n6_02.txt,symmetric,6,2,18346,1809,1809,1809,0.000000,17.293792,200000,74367,0,0 4 3 2 5 1
sym_n6_02,generated,data/generated/sym_n6_02.txt,symmetric,6,3,18347,1809,1809,1809,0.000000,17.384250,200000,74520,0,0 4 3 2 5 1
sym_n6_02,generated,data/generated/sym_n6_02.txt,symmetric,6,4,18348,1809,1809,1809,0.000000,17.391166,200000,74721,0,0 4 3 2 5 1
sym_n6_02,generated,data/generated/sym_n6_02.txt,symmetric,6,5,18349,1809,1809,1809,0.000000,17.255667,200000,74270,0,0 4 3 2 5 1
sym_n6_03,generated,data/generated/sym_n6_03.txt,symmetric,6,1,18345,2776,2583,2583,0.000000,17.329834,200000,81742,1,5 1 4 0 3 2
sym_n6_03,generated,data/generated/sym_n6_03.txt,symmetric,6,2,18346,2776,2583,2583,0.000000,17.088000,200000,81385,1,3 2 5 1 4 0
sym_n6_03,generated,data/generated/sym_n6_03.txt,symmetric,6,3,18347,2776,2583,2583,0.000000,17.155667,200000,81772,1,2 5 1 4 0 3
sym_n6_03,generated,data/generated/sym_n6_03.txt,symmetric,6,4,18348,2776,2583,2583,0.000000,17.135708,200000,81984,1,0 3 2 5 1 4
sym_n6_03,generated,data/generated/sym_n6_03.txt,symmetric,6,5,18349,2776,2583,2583,0.000000,17.347166,200000,81677,2,2 3 0 4 1 5
asym_n7_01,generated,data/generated/asym_n7_01.txt,asymmetric,7,1,19345,940,940,940,0.000000,15.974084,200000,33382,0,1 3 4 0 5 6 2
asym_n7_01,generated,data/generated/asym_n7_01.txt,asymmetric,7,2,19346,940,940,940,0.000000,16.101083,200000,33892,0,1 3 4 0 5 6 2
asym_n7_01,generated,data/generated/asym_n7_01.txt,asymmetric,7,3,19347,940,940,940,0.000000,15.978542,200000,33187,0,1 3 4 0 5 6 2
asym_n7_01,generated,data/generated/asym_n7_01.txt,asymmetric,7,4,19348,940,940,940,0.000000,16.109375,200000,33714,0,1 3 4 0 5 6 2
asym_n7_01,generated,data/generated/asym_n7_01.txt,asymmetric,7,5,19349,940,940,940,0.000000,15.887000,200000,32908,0,1 3 4 0 5 6 2
asym_n7_02,generated,data/generated/asym_n7_02.txt,asymmetric,7,1,19345,1669,1669,1669,0.000000,16.062625,200000,33049,0,5 6 0 3 4 1 2
asym_n7_02,generated,data/generated/asym_n7_02.txt,asymmetric,7,2,19346,1669,1669,1669,0.000000,16.390417,200000,32437,0,5 6 0 3 4 1 2
asym_n7_02,generated,data/generated/asym_n7_02.txt,asymmetric,7,3,19347,1669,1669,1669,0.000000,16.658375,200000,33130,0,5 6 0 3 4 1 2
asym_n7_02,generated,data/generated/asym_n7_02.txt,asymmetric,7,4,19348,1669,1669,1669,0.000000,16.624959,200000,32584,0,5 6 0 3 4 1 2
asym_n7_02,generated,data/generated/asym_n7_02.txt,asymmetric,7,5,19349,1669,1669,1669,0.000000,16.580125,200000,32413,0,5 6 0 3 4 1 2
asym_n7_03,generated,data/generated/asym_n7_03.txt,asymmetric,7,1,19345,1049,1049,1049,0.000000,16.563459,200000,30301,0,0 6 2 4 3 5 1
asym_n7_03,generated,data/generated/asym_n7_03.txt,asymmetric,7,2,19346,1049,1049,1049,0.000000,16.669916,200000,30464,0,0 6 2 4 3 5 1
asym_n7_03,generated,data/generated/asym_n7_03.txt,asymmetric,7,3,19347,1049,1049,1049,0.000000,16.414083,200000,30108,0,0 6 2 4 3 5 1
asym_n7_03,generated,data/generated/asym_n7_03.txt,asymmetric,7,4,19348,1049,1049,1049,0.000000,15.796416,200000,30217,0,0 6 2 4 3 5 1
asym_n7_03,generated,data/generated/asym_n7_03.txt,asymmetric,7,5,19349,1049,1049,1049,0.000000,15.860541,200000,30125,0,0 6 2 4 3 5 1
sym_n7_01,generated,data/generated/sym_n7_01.txt,symmetric,7,1,19345,1795,1795,1795,0.000000,15.710708,200000,66415,0,2 0 4 6 5 1 3
sym_n7_01,generated,data/generated/sym_n7_01.txt,symmetric,7,2,19346,1795,1795,1795,0.000000,15.841958,200000,67059,0,2 0 4 6 5 1 3
sym_n7_01,generated,data/generated/sym_n7_01.txt,symmetric,7,3,19347,1795,1795,1795,0.000000,15.850792,200000,66629,0,2 0 4 6 5 1 3
sym_n7_01,generated,data/generated/sym_n7_01.txt,symmetric,7,4,19348,1795,1795,1795,0.000000,15.905375,200000,66813,0,2 0 4 6 5 1 3
sym_n7_01,generated,data/generated/sym_n7_01.txt,symmetric,7,5,19349,1795,1795,1795,0.000000,15.961792,200000,66830,0,2 0 4 6 5 1 3
sym_n7_02,generated,data/generated/sym_n7_02.txt,symmetric,7,1,19345,2037,1886,1886,0.000000,15.788000,200000,61417,1,1 2 6 4 3 0 5
sym_n7_02,generated,data/generated/sym_n7_02.txt,symmetric,7,2,19346,2037,1886,1886,0.000000,15.820209,200000,61544,1,3 4 6 2 1 5 0
sym_n7_02,generated,data/generated/sym_n7_02.txt,symmetric,7,3,19347,2037,1886,1886,0.000000,15.687417,200000,61517,1,5 1 2 6 4 3 0
sym_n7_02,generated,data/generated/sym_n7_02.txt,symmetric,7,4,19348,2037,1886,1886,0.000000,15.776791,200000,61130,1,1 2 6 4 3 0 5
sym_n7_02,generated,data/generated/sym_n7_02.txt,symmetric,7,5,19349,2037,1886,1886,0.000000,15.669833,200000,61148,1,5 1 2 6 4 3 0
sym_n7_03,generated,data/generated/sym_n7_03.txt,symmetric,7,1,19345,2306,2306,2306,0.000000,15.614292,200000,73068,0,1 3 4 5 0 2 6
sym_n7_03,generated,data/generated/sym_n7_03.txt,symmetric,7,2,19346,2306,2306,2306,0.000000,15.873792,200000,72954,0,1 3 4 5 0 2 6
sym_n7_03,generated,data/generated/sym_n7_03.txt,symmetric,7,3,19347,2306,2306,2306,0.000000,15.806292,200000,73302,0,1 3 4 5 0 2 6
sym_n7_03,generated,data/generated/sym_n7_03.txt,symmetric,7,4,19348,2306,2306,2306,0.000000,15.919333,200000,72604,0,1 3 4 5 0 2 6
sym_n7_03,generated,data/generated/sym_n7_03.txt,symmetric,7,5,19349,2306,2306,2306,0.000000,15.907000,200000,72967,0,1 3 4 5 0 2 6
asym_n8_01,generated,data/generated/asym_n8_01.txt,asymmetric,8,1,20345,1699,1699,1699,0.000000,14.968000,200000,28502,0,6 7 2 0 1 5 3 4
asym_n8_01,generated,data/generated/asym_n8_01.txt,asymmetric,8,2,20346,1699,1699,1699,0.000000,14.999083,200000,27842,0,6 7 2 0 1 5 3 4
asym_n8_01,generated,data/generated/asym_n8_01.txt,asymmetric,8,3,20347,1699,1699,1699,0.000000,14.877458,200000,27771,0,6 7 2 0 1 5 3 4
asym_n8_01,generated,data/generated/asym_n8_01.txt,asymmetric,8,4,20348,1699,1699,1699,0.000000,14.938916,200000,27822,0,6 7 2 0 1 5 3 4
asym_n8_01,generated,data/generated/asym_n8_01.txt,asymmetric,8,5,20349,1699,1699,1699,0.000000,15.071500,200000,29153,0,6 7 2 0 1 5 3 4
asym_n8_02,generated,data/generated/asym_n8_02.txt,asymmetric,8,1,20345,1584,1584,1584,0.000000,14.959584,200000,29856,0,5 6 2 3 1 4 0 7
asym_n8_02,generated,data/generated/asym_n8_02.txt,asymmetric,8,2,20346,1584,1584,1584,0.000000,14.892666,200000,30109,0,5 6 2 3 1 4 0 7
asym_n8_02,generated,data/generated/asym_n8_02.txt,asymmetric,8,3,20347,1584,1584,1584,0.000000,14.683791,200000,30126,0,5 6 2 3 1 4 0 7
asym_n8_02,generated,data/generated/asym_n8_02.txt,asymmetric,8,4,20348,1584,1584,1584,0.000000,14.938208,200000,29939,0,5 6 2 3 1 4 0 7
asym_n8_02,generated,data/generated/asym_n8_02.txt,asymmetric,8,5,20349,1584,1584,1584,0.000000,14.972166,200000,30016,0,5 6 2 3 1 4 0 7
asym_n8_03,generated,data/generated/asym_n8_03.txt,asymmetric,8,1,20345,1156,1156,1156,0.000000,15.027750,200000,29153,0,5 2 7 1 6 3 0 4
asym_n8_03,generated,data/generated/asym_n8_03.txt,asymmetric,8,2,20346,1156,1156,1156,0.000000,15.032959,200000,29035,0,5 2 7 1 6 3 0 4
asym_n8_03,generated,data/generated/asym_n8_03.txt,asymmetric,8,3,20347,1156,1156,1156,0.000000,14.876583,200000,29337,0,5 2 7 1 6 3 0 4
