n,graph_type,source_kind,instance_count,run_count,avg_time_ms,avg_relative_error_percent,avg_improvement_percent
6,asymmetric,generated,3,15,39.380586,0.000000,10.218239
6,symmetric,generated,3,15,39.364655,0.000000,4.767750
7,asymmetric,generated,3,15,34.127042,0.000000,0.000000
7,symmetric,generated,3,15,34.158078,0.000000,2.470954
8,asymmetric,generated,3,15,32.455566,0.000000,0.000000
8,symmetric,generated,3,15,32.520700,0.000000,4.584637
9,asymmetric,generated,3,15,45.585072,0.000000,11.782672
9,symmetric,generated,3,15,45.920658,0.000000,7.346176
10,asymmetric,generated,3,15,43.364172,0.452428,1.092063
10,symmetric,generated,3,15,43.877269,0.000000,0.427589
17,asymmetric,tsplib,1,5,50.903442,0.000000,30.357143
34,asymmetric,tsplib,1,5,51.888633,17.262830,5.157233
36,asymmetric,tsplib,1,5,50.988558,11.894094,1.127774
39,asymmetric,tsplib,1,5,49.045859,14.967320,0.000000
43,asymmetric,tsplib,1,5,49.150558,0.067616,1.059113
48,asymmetric,tsplib,1,5,44.723575,4.755235,2.999679
51,symmetric,tsplib,1,5,44.608183,3.004695,8.962656
52,symmetric,tsplib,1,5,44.235334,0.578096,7.277839
70,symmetric,tsplib,1,5,62.416942,2.488889,13.090452
76,symmetric,tsplib,1,5,61.218441,4.907063,7.171053
100,symmetric,tsplib,2,10,57.592625,3.588022,11.902368
127,symmetric,tsplib,1,5,58.986017,3.320708,8.766657
130,symmetric,tsplib,1,5,77.426191,5.292962,9.757329
