instance,kind,source,type,edge_weight_type,dimension,repetition,seed,best_length,opt_length,gap_percent,elapsed_ms,generations,improvements,population_size,crossover_rate,mutation_rate,local_search_rate
burma14,SYM,TSPLIB,TSP,GEO,14,0,1041227049348777562,3323,3323,0.000000,23.867,220,0,90,0.920,0.340,0.350
burma14,SYM,TSPLIB,TSP,GEO,14,1,1041227049347809439,3323,3323,0.000000,24.913,220,0,90,0.920,0.340,0.350
burma14,SYM,TSPLIB,TSP,GEO,14,2,1041227049346581200,3323,3323,0.000000,23.365,220,0,90,0.920,0.340,0.350
ulysses22,SYM,TSPLIB,TSP,GEO,22,0,603505428106256904,7013,7013,0.000000,41.855,220,0,90,0.920,0.340,0.350
ulysses22,SYM,TSPLIB,TSP,GEO,22,1,603505428107289805,7013,7013,0.000000,53.856,220,0,90,0.920,0.340,0.350
ulysses22,SYM,TSPLIB,TSP,GEO,22,2,603505428108256898,7013,7013,0.000000,38.172,220,0,90,0.920,0.340,0.350
berlin52,SYM,TSPLIB,TSP,EUC_2D,52,0,15197160209807454283,7542,7542,0.000000,109.526,222,1,90,0.920,0.340,0.350
berlin52,SYM,TSPLIB,TSP,EUC_2D,52,1,15197160209808619150,7542,7542,0.000000,120.613,221,1,90,0.920,0.340,0.350
berlin52,SYM,TSPLIB,TSP,EUC_2D,52,2,15197160209809454273,7542,7542,0.000000,103.819,221,1,90,0.920,0.340,0.350
eil76,SYM,TSPLIB,TSP,EUC_2D,76,0,15320210674217546183,538,538,0.000000,206.890,249,3,90,0.920,0.340,0.350
eil76,SYM,TSPLIB,TSP,EUC_2D,76,1,15320210674218678018,538,538,0.000000,201.374,238,6,90,0.920,0.340,0.350
eil76,SYM,TSPLIB,TSP,EUC_2D,76,2,15320210674215351629,538,538,0.000000,159.074,236,2,90,0.920,0.340,0.350
kroA100,SYM,TSPLIB,TSP,EUC_2D,100,0,10011958684559308475,21282,21282,0.000000,273.651,231,6,90,0.920,0.340,0.350
kroA100,SYM,TSPLIB,TSP,EUC_2D,100,1,10011958684560306302,21282,21282,0.000000,285.717,248,7,90,0.920,0.340,0.350
kroA100,SYM,TSPLIB,TSP,EUC_2D,100,2,10011958684561306161,21282,21282,0.000000,306.806,252,4,90,0.920,0.340,0.350
ch130,SYM,TSPLIB,TSP,EUC_2D,130,0,13536430946593844534,6160,6110,0.818331,499.721,274,12,90,0.920,0.340,0.350
ch130,SYM,TSPLIB,TSP,EUC_2D,130,1,13536430946592844787,6128,6110,0.294599,414.310,269,11,90,0.920,0.340,0.350
ch130,SYM,TSPLIB,TSP,EUC_2D,130,2,13536430946596039100,6128,6110,0.294599,440.519,244,8,90,0.920,0.340,0.350
rat195,SYM,TSPLIB,TSP,EUC_2D,195,0,376783617786791568,2337,2323,0.602669,929.362,250,12,90,0.920,0.340,0.350
rat195,SYM,TSPLIB,TSP,EUC_2D,195,1,376783617785823317,2334,2323,0.473526,1370.078,550,12,90,0.920,0.340,0.350
rat195,SYM,TSPLIB,TSP,EUC_2D,195,2,376783617788789274,2328,2323,0.215239,1053.674,429,13,90,0.920,0.340,0.350
a280,SYM,TSPLIB,TSP,EUC_2D,280,0,985688254389249116,2579,2579,0.000000,1737.781,334,13,90,0.920,0.340,0.350
a280,SYM,TSPLIB,TSP,EUC_2D,280,1,985688254390248089,2579,2579,0.000000,1487.278,286,14,90,0.920,0.340,0.350
a280,SYM,TSPLIB,TSP,EUC_2D,280,2,985688254387314902,2579,2579,0.000000,1616.442,299,18,90,0.920,0.340,0.350
pcb442,SYM,TSPLIB,TSP,EUC_2D,442,0,16238088531391482894,51200,50778,0.831069,3005.026,312,33,90,0.920,0.340,0.350
pcb442,SYM,TSPLIB,TSP,EUC_2D,442,1,16238088531392514763,51519,50778,1.459293,3004.999,326,25,90,0.920,0.340,0.350
pcb442,SYM,TSPLIB,TSP,EUC_2D,442,2,16238088531389286532,51216,50778,0.862578,3002.224,264,37,90,0.920,0.340,0.350
att532,SYM,TSPLIB,TSP,ATT,532,0,15309475343181082,28121,27686,1.571191,3001.219,186,47,90,0.920,0.340,0.350
att532,SYM,TSPLIB,TSP,ATT,532,1,15309475344212959,28004,27686,1.148595,3007.126,206,38,90,0.920,0.340,0.350
att532,SYM,TSPLIB,TSP,ATT,532,2,15309475345179024,28067,27686,1.376147,3006.139,187,37,90,0.920,0.340,0.350
rat783,SYM,TSPLIB,TSP,EUC_2D,783,0,17275455113178401810,9072,8806,3.020668,3018.430,69,25,90,0.920,0.340,0.350
rat783,SYM,TSPLIB,TSP,EUC_2D,783,1,17275455113177434839,9077,8806,3.077447,3005.248,78,26,90,0.920,0.340,0.350
rat783,SYM,TSPLIB,TSP,EUC_2D,783,2,17275455113176467608,9092,8806,3.247786,3004.900,97,26,90,0.920,0.340,0.350
pr1002,SYM,TSPLIB,TSP,EUC_2D,1002,0,13179468774379914583,267009,259045,3.074369,3032.275,82,39,90,0.920,0.340,0.350
pr1002,SYM,TSPLIB,TSP,EUC_2D,1002,1,13179468774381011858,268803,259045,3.766913,3006.901,54,28,90,0.920,0.340,0.350
pr1002,SYM,TSPLIB,TSP,EUC_2D,1002,2,13179468774382109149,271704,259045,4.886796,3002.810,48,19,90,0.920,0.340,0.350
pr2392,SYM,TSPLIB,TSP,EUC_2D,2392,0,7184743551286890819,404801,378032,7.081147,3090.876,23,15,90,0.920,0.340,0.350
