instance,kind,source,type,edge_weight_type,dimension,opt_length,best_length,min_gap_percent,mean_gap_percent,max_gap_percent,mean_elapsed_ms,min_elapsed_ms,max_elapsed_ms,threshold_percent,threshold_ok,repetitions
ftv33,ASYM,TSPLIB_ATSP,ATSP,EXPLICIT,34,1286,1340,4.199067,5.495075333333333,8.087092,248.68466666666666,190.666,361.231,50.0,True,3
ft53,ASYM,TSPLIB_ATSP,ATSP,EXPLICIT,53,6905,7104,2.88197,6.927347666666666,9.543809,328.45933333333335,278.405,368.238,50.0,True,3
ftv70,ASYM,TSPLIB_ATSP,ATSP,EXPLICIT,71,1950,2092,7.282051,8.119658,9.179487,442.132,427.612,453.338,50.0,True,3
kro124p,ASYM,TSPLIB_ATSP,ATSP,EXPLICIT,100,36230,38801,7.096329,7.430306333333333,7.651118,800.8826666666666,717.392,952.544,100.0,True,3
rbg323,ASYM,TSPLIB_ATSP,ATSP,EXPLICIT,323,1326,1405,5.957768,6.35998,6.711916,3005.4816666666666,3001.509,3011.335,100.0,True,3
burma14,SYM,TSPLIB,TSP,GEO,14,3323,3323,0.0,0.0,0.0,24.048333333333332,23.365,24.913,0.0,True,3
ulysses22,SYM,TSPLIB,TSP,GEO,22,7013,7013,0.0,0.0,0.0,44.62766666666666,38.172,53.856,0.0,True,3
berlin52,SYM,TSPLIB,TSP,EUC_2D,52,7542,7542,0.0,0.0,0.0,111.31933333333333,103.819,120.613,50.0,True,3
eil76,SYM,TSPLIB,TSP,EUC_2D,76,538,538,0.0,0.0,0.0,189.11266666666666,159.074,206.89,100.0,True,3
kroA100,SYM,TSPLIB,TSP,EUC_2D,100,21282,21282,0.0,0.0,0.0,288.7246666666667,273.651,306.806,100.0,True,3
ch130,SYM,TSPLIB,TSP,EUC_2D,130,6110,6128,0.294599,0.46917633333333336,0.818331,451.51666666666665,414.31,499.721,100.0,True,3
rat195,SYM,TSPLIB,TSP,EUC_2D,195,2323,2328,0.215239,0.430478,0.602669,1117.7046666666665,929.362,1370.078,100.0,True,3
a280,SYM,TSPLIB,TSP,EUC_2D,280,2579,2579,0.0,0.0,0.0,1613.8336666666667,1487.278,1737.781,100.0,True,3
pcb442,SYM,TSPLIB,TSP,EUC_2D,442,50778,51200,0.831069,1.05098,1.459293,3004.083,3002.224,3005.026,100.0,True,3
att532,SYM,TSPLIB,TSP,ATT,532,27686,28004,1.148595,1.365311,1.571191,3004.828,3001.219,3007.126,150.0,True,3
rat783,SYM,TSPLIB,TSP,EUC_2D,783,8806,9072,3.020668,3.1153003333333333,3.247786,3009.526,3004.9,3018.43,150.0,True,3
pr1002,SYM,TSPLIB,TSP,EUC_2D,1002,259045,267009,3.074369,3.9093593333333336,4.886796,3013.9953333333333,3002.81,3032.275,150.0,True,3
pr2392,SYM,TSPLIB,TSP,EUC_2D,2392,378032,404801,7.081147,7.3156946666666665,7.587453,3065.782666666667,3015.869,3090.876,150.0,True,3
xqf131,VLSI,Waterloo_VLSI,TSP,EUC_2D,131,564,564,0.0,0.6501183333333334,1.77305,498.197,361.818,687.679,100.0,True,3
xqg237,VLSI,Waterloo_VLSI,TSP,EUC_2D,237,1019,1020,0.098135,0.26169433333333336,0.588813,1324.4093333333333,1050.674,1546.726,100.0,True,3
pma343,VLSI,Waterloo_VLSI,TSP,EUC_2D,343,1368,1371,0.219298,0.4385963333333333,0.657895,2589.2746666666667,2017.848,3003.819,100.0,True,3
pka379,VLSI,Waterloo_VLSI,TSP,EUC_2D,379,1332,1335,0.225225,0.3003,0.375375,2900.980666666667,2693.524,3005.206,100.0,True,3
bcl380,VLSI,Waterloo_VLSI,TSP,EUC_2D,380,1621,1626,0.308452,0.4729593333333333,0.555213,2192.3306666666667,2040.794,2493.861,100.0,True,3
xql662,VLSI,Waterloo_VLSI,TSP,EUC_2D,662,2513,2555,1.671309,2.361056,3.461998,3008.7999999999997,3002.977,3012.019,150.0,True,3
lim963,VLSI,Waterloo_VLSI,TSP,EUC_2D,963,2789,2880,3.262818,4.039679666666666,4.589459,3048.210666666667,3025.737,3087.894,150.0,True,3
dka1376,VLSI,Waterloo_VLSI,TSP,EUC_2D,1376,4666,4881,4.607801,5.379339666666667,5.936562,3019.345333333333,3000.683,3044.509,150.0,True,3
djc1785,VLSI,Waterloo_VLSI,TSP,EUC_2D,1785,6115,6545,7.031889,7.179068,7.309894,3047.3276666666666,3023.241,3064.712,150.0,True,3
xpr2308,VLSI,Waterloo_VLSI,TSP,EUC_2D,2308,7219,7738,7.189361,7.424850666666667,7.729602,3131.436333333333,3062.306,3205.229,150.0,True,3
