instance,kind,source,type,edge_weight_type,dimension,repetition,seed,best_length,opt_length,gap_percent,elapsed_ms,generations,improvements,population_size,crossover_rate,mutation_rate,local_search_rate
burma14,SYM,TSPLIB,TSP,GEO,14,0,1041227049348777562,3323,3323,0.000000,48.247,160,0,80,0.900,0.300,0.320
burma14,SYM,TSPLIB,TSP,GEO,14,1,1041227049347809439,3323,3323,0.000000,57.270,160,0,80,0.900,0.300,0.320
burma14,SYM,TSPLIB,TSP,GEO,14,2,1041227049346581200,3323,3323,0.000000,45.871,160,0,80,0.900,0.300,0.320
ulysses22,SYM,TSPLIB,TSP,GEO,22,0,603505428106256904,7013,7013,0.000000,80.961,160,0,80,0.900,0.300,0.320
ulysses22,SYM,TSPLIB,TSP,GEO,22,1,603505428107289805,7013,7013,0.000000,71.658,160,0,80,0.900,0.300,0.320
ulysses22,SYM,TSPLIB,TSP,GEO,22,2,603505428108256898,7013,7013,0.000000,72.432,160,0,80,0.900,0.300,0.320
berlin52,SYM,TSPLIB,TSP,EUC_2D,52,0,15197160209807454283,7542,7542,0.000000,146.987,160,0,80,0.900,0.300,0.320
berlin52,SYM,TSPLIB,TSP,EUC_2D,52,1,15197160209808619150,7542,7542,0.000000,117.470,160,0,80,0.900,0.300,0.320
berlin52,SYM,TSPLIB,TSP,EUC_2D,52,2,15197160209809454273,7542,7542,0.000000,120.254,160,0,80,0.900,0.300,0.320
eil76,SYM,TSPLIB,TSP,EUC_2D,76,0,15320210674217546183,538,538,0.000000,259.894,206,9,80,0.900,0.300,0.320
eil76,SYM,TSPLIB,TSP,EUC_2D,76,1,15320210674218678018,538,538,0.000000,194.630,171,5,80,0.900,0.300,0.320
eil76,SYM,TSPLIB,TSP,EUC_2D,76,2,15320210674215351629,538,538,0.000000,148.613,173,3,80,0.900,0.300,0.320
ftv33,ASYM,TSPLIB_ATSP,ATSP,EXPLICIT,34,0,7902449022721417860,1340,1286,4.199067,170.108,179,6,80,0.900,0.300,0.320
ftv33,ASYM,TSPLIB_ATSP,ATSP,EXPLICIT,34,1,7902449022720320577,1384,1286,7.620529,163.591,172,5,80,0.900,0.300,0.320
ftv33,ASYM,TSPLIB_ATSP,ATSP,EXPLICIT,34,2,7902449022719485454,1367,1286,6.298600,168.367,173,6,80,0.900,0.300,0.320
ft53,ASYM,TSPLIB_ATSP,ATSP,EXPLICIT,53,0,10475771889921135359,7319,6905,5.995655,298.087,224,15,80,0.900,0.300,0.320
ft53,ASYM,TSPLIB_ATSP,ATSP,EXPLICIT,53,1,10475771889922102330,7649,6905,10.774801,2011.926,92,7,80,0.900,0.300,0.320
ft53,ASYM,TSPLIB_ATSP,ATSP,EXPLICIT,53,2,10475771889923331701,7460,6905,8.037654,1901.006,375,20,80,0.900,0.300,0.320
xqf131,VLSI,Waterloo_VLSI,TSP,EUC_2D,131,0,10897442009592000136,570,564,1.063830,1324.203,294,10,80,0.900,0.300,0.320
xqf131,VLSI,Waterloo_VLSI,TSP,EUC_2D,131,1,10897442009593129037,565,564,0.177305,1118.778,209,6,80,0.900,0.300,0.320
xqf131,VLSI,Waterloo_VLSI,TSP,EUC_2D,131,2,10897442009589803522,565,564,0.177305,1018.510,194,7,80,0.900,0.300,0.320
xqg237,VLSI,Waterloo_VLSI,TSP,EUC_2D,237,0,7473758041634545793,1026,1019,0.686948,1144.387,322,13,80,0.900,0.300,0.320
xqg237,VLSI,Waterloo_VLSI,TSP,EUC_2D,237,1,7473758041633547844,1026,1019,0.686948,2007.769,326,20,80,0.900,0.300,0.320
xqg237,VLSI,Waterloo_VLSI,TSP,EUC_2D,237,2,7473758041636742155,1026,1019,0.686948,2013.119,222,15,80,0.900,0.300,0.320
