instance_name,source,family,n,symmetric,algorithm,seed,cost,best_known,rel_error_pct,time_s,completed,timed_out,route,extra
gen_sym_n6_00,generated,generated_complete,6,True,bruteforce,12345,190559,,,0.0001585839781910181,True,False,0 3 5 2 1 4,{'checked_permutations': 120}
gen_sym_n6_01,generated,generated_complete,6,True,bruteforce,12445,257888,,,0.000145458965562284,True,False,0 3 5 1 2 4,{'checked_permutations': 120}
gen_sym_n6_02,generated,generated_complete,6,True,bruteforce,12545,258031,,,0.00014949997421354055,True,False,0 1 4 2 5 3,{'checked_permutations': 120}
gen_sym_n6_03,generated,generated_complete,6,True,bruteforce,12645,116917,,,0.000145458965562284,True,False,0 1 4 2 3 5,{'checked_permutations': 120}
gen_sym_n6_04,generated,generated_complete,6,True,bruteforce,12745,76565,,,0.0001455830642953515,True,False,0 1 5 2 3 4,{'checked_permutations': 120}
gen_sym_n6_05,generated,generated_complete,6,True,bruteforce,12845,286539,,,0.00014595803804695606,True,False,0 1 3 4 5 2,{'checked_permutations': 120}
gen_sym_n6_06,generated,generated_complete,6,True,bruteforce,12945,215023,,,0.00014537503011524677,True,False,0 1 3 4 5 2,{'checked_permutations': 120}
gen_sym_n6_07,generated,generated_complete,6,True,bruteforce,13045,156021,,,0.00014641694724559784,True,False,0 1 5 2 3 4,{'checked_permutations': 120}
gen_sym_n6_08,generated,generated_complete,6,True,bruteforce,13145,257910,,,0.00014925003051757812,True,False,0 1 4 3 5 2,{'checked_permutations': 120}
gen_sym_n6_09,generated,generated_complete,6,True,bruteforce,13245,126647,,,0.00014424999244511127,True,False,0 1 3 4 5 2,{'checked_permutations': 120}
gen_asym_n6_00,generated,generated_complete,6,False,bruteforce,13345,171169,,,0.0001449170522391796,True,False,0 5 3 1 4 2,{'checked_permutations': 120}
gen_asym_n6_01,generated,generated_complete,6,False,bruteforce,13445,155316,,,0.00014441600069403648,True,False,0 3 5 1 4 2,{'checked_permutations': 120}
gen_asym_n6_02,generated,generated_complete,6,False,bruteforce,13545,208344,,,0.00014512497000396252,True,False,0 4 5 3 2 1,{'checked_permutations': 120}
gen_asym_n6_03,generated,generated_complete,6,False,bruteforce,13645,102167,,,0.00014520797412842512,True,False,0 4 5 1 2 3,{'checked_permutations': 120}
gen_asym_n6_04,generated,generated_complete,6,False,bruteforce,13745,131582,,,0.00014400004874914885,True,False,0 2 3 5 4 1,{'checked_permutations': 120}
gen_asym_n6_05,generated,generated_complete,6,False,bruteforce,13845,173720,,,0.00014633301179856062,True,False,0 3 1 4 5 2,{'checked_permutations': 120}
gen_asym_n6_06,generated,generated_complete,6,False,bruteforce,13945,134043,,,0.0001462089130654931,True,False,0 4 5 2 3 1,{'checked_permutations': 120}
gen_asym_n6_07,generated,generated_complete,6,False,bruteforce,14045,124779,,,0.00014595896936953068,True,False,0 5 3 1 2 4,{'checked_permutations': 120}
gen_asym_n6_08,generated,generated_complete,6,False,bruteforce,14145,203396,,,0.00014625000767409801,True,False,0 4 3 1 5 2,{'checked_permutations': 120}
gen_asym_n6_09,generated,generated_complete,6,False,bruteforce,14245,151390,,,0.00014595792163163424,True,False,0 3 5 1 2 4,{'checked_permutations': 120}
gen_sym_n7_00,generated,generated_complete,7,True,bruteforce,14345,228781,,,0.0009373340290039778,True,False,0 2 4 1 3 6 5,{'checked_permutations': 720}
gen_sym_n7_01,generated,generated_complete,7,True,bruteforce,14445,199892,,,0.0009535419521853328,True,False,0 1 2 3 6 4 5,{'checked_permutations': 720}
gen_sym_n7_02,generated,generated_complete,7,True,bruteforce,14545,283513,,,0.0009429169585928321,True,False,0 1 4 3 5 2 6,{'checked_permutations': 720}
gen_sym_n7_03,generated,generated_complete,7,True,bruteforce,14645,115997,,,0.0009312080219388008,True,False,0 2 5 6 1 4 3,{'checked_permutations': 720}
gen_sym_n7_04,generated,generated_complete,7,True,bruteforce,14745,177393,,,0.0009374169167131186,True,False,0 1 5 3 6 2 4,{'checked_permutations': 720}
gen_sym_n7_05,generated,generated_complete,7,True,bruteforce,14845,206478,,,0.0009282920509576797,True,False,0 2 6 1 3 5 4,{'checked_permutations': 720}
gen_sym_n7_06,generated,generated_complete,7,True,bruteforce,14945,165303,,,0.0009314580820500851,True,False,0 1 2 4 5 3 6,{'checked_permutations': 720}
gen_sym_n7_07,generated,generated_complete,7,True,bruteforce,15045,190178,,,0.0009352910565212369,True,False,0 3 2 6 5 1 4,{'checked_permutations': 720}
gen_sym_n7_08,generated,generated_complete,7,True,bruteforce,15145,161282,,,0.0009480840526521206,True,False,0 1 3 5 4 6 2,{'checked_permutations': 720}
gen_sym_n7_09,generated,generated_complete,7,True,bruteforce,15245,193881,,,0.0009307919535785913,True,False,0 2 4 6 3 1 5,{'checked_permutations': 720}
gen_asym_n7_00,generated,generated_complete,7,False,bruteforce,15345,130601,,,0.0009299590019509196,True,False,0 4 2 6 3 5 1,{'checked_permutations': 720}
gen_asym_n7_01,generated,generated_complete,7,False,bruteforce,15445,105192,,,0.0009301670361310244,True,False,0 2 5 3 6 4 1,{'checked_permutations': 720}
gen_asym_n7_02,generated,generated_complete,7,False,bruteforce,15545,202422,,,0.0009317090734839439,True,False,0 4 3 5 1 6 2,{'checked_permutations': 720}
gen_asym_n7_03,generated,generated_complete,7,False,bruteforce,15645,110587,,,0.0009345830185338855,True,False,0 6 2 1 5 3 4,{'checked_permutations': 720}
gen_asym_n7_04,generated,generated_complete,7,False,bruteforce,15745,90592,,,0.0009326250292360783,True,False,0 1 3 6 5 2 4,{'checked_permutations': 720}
gen_asym_n7_05,generated,generated_complete,7,False,bruteforce,15845,230225,,,0.0009471249068155885,True,False,0 3 2 5 1 6 4,{'checked_permutations': 720}
gen_asym_n7_06,generated,generated_complete,7,False,bruteforce,15945,125992,,,0.0009341250406578183,True,False,0 3 5 2 4 6 1,{'checked_permutations': 720}
gen_asym_n7_07,generated,generated_complete,7,False,bruteforce,16045,155427,,,0.0009376249508932233,True,False,0 6 3 1 2 5 4,{'checked_permutations': 720}
gen_asym_n7_08,generated,generated_complete,7,False,bruteforce,16145,170863,,,0.0009352089837193489,True,False,0 3 2 6 4 5 1,{'checked_permutations': 720}
gen_asym_n7_09,generated,generated_complete,7,False,bruteforce,16245,127753,,,0.0009452080121263862,True,False,0 4 6 5 1 2 3,{'checked_permutations': 720}
gen_sym_n8_00,generated,generated_complete,8,True,bruteforce,16345,164755,,,0.006980374921113253,True,False,0 3 4 2 1 6 5 7,{'checked_permutations': 5040}
gen_sym_n8_01,generated,generated_complete,8,True,bruteforce,16445,263641,,,0.007041290984489024,True,False,0 2 3 1 7 5 4 6,{'checked_permutations': 5040}
gen_sym_n8_02,generated,generated_complete,8,True,bruteforce,16545,198612,,,0.007054249988868833,True,False,0 4 6 5 3 2 1 7,{'checked_permutations': 5040}
gen_sym_n8_03,generated,generated_complete,8,True,bruteforce,16645,168914,,,0.007001541089266539,True,False,0 2 5 7 3 4 1 6,{'checked_permutations': 5040}
gen_sym_n8_04,generated,generated_complete,8,True,bruteforce,16745,175399,,,0.007051207940094173,True,False,0 3 1 5 6 4 2 7,{'checked_permutations': 5040}
gen_sym_n8_05,generated,generated_complete,8,True,bruteforce,16845,134451,,,0.007054415997117758,True,False,0 2 6 1 3 7 4 5,{'checked_permutations': 5040}
gen_sym_n8_06,generated,generated_complete,8,True,bruteforce,16945,218852,,,0.007029458996839821,True,False,0 1 2 7 6 4 5 3,{'checked_permutations': 5040}
gen_sym_n8_07,generated,generated_complete,8,True,bruteforce,17045,148283,,,0.00705604103859514,True,False,0 3 6 1 4 2 5 7,{'checked_permutations': 5040}
