n,mode,runs,avg_time_ms,avg_expanded_nodes,avg_generated_nodes,avg_pruned_by_bound,avg_completed_tours,avg_max_open_size,timeouts,optimality_proven_count
6,bfs,3,0.705,213.000,326.000,113.000,7.000,120.000,0,3
6,dfs,3,0.282,58.667,121.333,62.667,4.667,11.000,0,3
6,lc,3,0.387,43.667,104.333,60.667,1.000,61.667,0,3
7,bfs,3,4.360,1245.667,1957.000,711.333,8.667,720.000,0,3
7,dfs,3,0.957,175.000,409.667,234.667,8.667,16.000,0,3
7,lc,3,1.377,128.333,344.000,215.667,1.000,216.667,0,3
8,bfs,3,31.004,8675.000,13700.000,5025.000,15.000,5040.000,0,3
8,dfs,3,7.121,1279.000,3039.667,1760.667,11.333,22.000,0,3
8,lc,3,11.360,984.333,2481.667,1497.333,1.000,1498.333,0,3
9,bfs,3,259.865,69297.000,109601.000,40304.000,16.000,40320.000,0,3
9,dfs,3,8.126,998.000,3157.667,2159.667,16.000,29.000,0,3
9,lc,3,5.689,308.000,1240.667,932.667,1.000,933.667,0,3
10,bfs,3,2541.138,623561.333,986410.000,362848.667,31.333,362880.000,0,3
10,dfs,3,159.732,21185.000,59910.000,38725.000,24.333,37.000,0,3
10,lc,3,295.106,17224.000,50288.333,33064.333,1.000,33065.333,0,3
11,bfs,3,5000.004,413882.333,1471845.000,0.000,0.000,1057960.667,3,0
11,dfs,3,436.714,40909.000,146274.000,105365.000,26.333,46.000,0,3
11,lc,3,742.875,29796.000,107792.000,77996.000,1.000,77997.000,0,3
