instance,kind,source,type,edge_weight_type,dimension,repetition,seed,best_length,opt_length,gap_percent,elapsed_ms,generations,improvements,population_size,crossover_rate,mutation_rate,local_search_rate
burma14,SYM,TSPLIB,TSP,GEO,14,0,1041227049348777562,3323,3323,0.000000,68.260,220,0,90,0.920,0.340,0.350
burma14,SYM,TSPLIB,TSP,GEO,14,1,1041227049347809439,3323,3323,0.000000,73.590,220,0,90,0.920,0.340,0.350
burma14,SYM,TSPLIB,TSP,GEO,14,2,1041227049346581200,3323,3323,0.000000,66.651,220,0,90,0.920,0.340,0.350
ulysses22,SYM,TSPLIB,TSP,GEO,22,0,603505428106256904,7013,7013,0.000000,208.519,220,0,90,0.920,0.340,0.350
ulysses22,SYM,TSPLIB,TSP,GEO,22,1,603505428107289805,7013,7013,0.000000,143.867,220,0,90,0.920,0.340,0.350
ulysses22,SYM,TSPLIB,TSP,GEO,22,2,603505428108256898,7013,7013,0.000000,142.878,220,0,90,0.920,0.340,0.350
berlin52,SYM,TSPLIB,TSP,EUC_2D,52,0,15197160209807454283,7542,7542,0.000000,295.688,222,1,90,0.920,0.340,0.350
berlin52,SYM,TSPLIB,TSP,EUC_2D,52,1,15197160209808619150,7542,7542,0.000000,206.650,221,1,90,0.920,0.340,0.350
berlin52,SYM,TSPLIB,TSP,EUC_2D,52,2,15197160209809454273,7542,7542,0.000000,150.979,221,1,90,0.920,0.340,0.350
eil76,SYM,TSPLIB,TSP,EUC_2D,76,0,15320210674217546183,538,538,0.000000,304.413,249,3,90,0.920,0.340,0.350
eil76,SYM,TSPLIB,TSP,EUC_2D,76,1,15320210674218678018,538,538,0.000000,517.392,238,6,90,0.920,0.340,0.350
eil76,SYM,TSPLIB,TSP,EUC_2D,76,2,15320210674215351629,538,538,0.000000,293.274,236,2,90,0.920,0.340,0.350
kroA100,SYM,TSPLIB,TSP,EUC_2D,100,0,10011958684559308475,21282,21282,0.000000,434.551,231,6,90,0.920,0.340,0.350
kroA100,SYM,TSPLIB,TSP,EUC_2D,100,1,10011958684560306302,21282,21282,0.000000,473.679,248,7,90,0.920,0.340,0.350
kroA100,SYM,TSPLIB,TSP,EUC_2D,100,2,10011958684561306161,21282,21282,0.000000,1483.214,252,4,90,0.920,0.340,0.350
ch130,SYM,TSPLIB,TSP,EUC_2D,130,0,13536430946593844534,6160,6110,0.818331,1594.693,274,12,90,0.920,0.340,0.350
ch130,SYM,TSPLIB,TSP,EUC_2D,130,1,13536430946592844787,6128,6110,0.294599,910.641,269,11,90,0.920,0.340,0.350
ch130,SYM,TSPLIB,TSP,EUC_2D,130,2,13536430946596039100,6128,6110,0.294599,629.079,244,8,90,0.920,0.340,0.350
rat195,SYM,TSPLIB,TSP,EUC_2D,195,0,376783617786791568,2337,2323,0.602669,1419.863,250,12,90,0.920,0.340,0.350
rat195,SYM,TSPLIB,TSP,EUC_2D,195,1,376783617785823317,2334,2323,0.473526,3009.327,503,12,90,0.920,0.340,0.350
rat195,SYM,TSPLIB,TSP,EUC_2D,195,2,376783617788789274,2328,2323,0.215239,2200.836,429,13,90,0.920,0.340,0.350
a280,SYM,TSPLIB,TSP,EUC_2D,280,0,985688254389249116,2579,2579,0.000000,3009.484,233,13,90,0.920,0.340,0.350
a280,SYM,TSPLIB,TSP,EUC_2D,280,1,985688254390248089,2579,2579,0.000000,3038.320,80,14,90,0.920,0.340,0.350
a280,SYM,TSPLIB,TSP,EUC_2D,280,2,985688254387314902,2583,2579,0.155099,3002.976,73,17,90,0.920,0.340,0.350
pcb442,SYM,TSPLIB,TSP,EUC_2D,442,0,16238088531391482894,51677,50778,1.770452,3007.500,43,17,90,0.920,0.340,0.350
pcb442,SYM,TSPLIB,TSP,EUC_2D,442,1,16238088531392514763,51570,50778,1.559731,3005.051,125,22,90,0.920,0.340,0.350
pcb442,SYM,TSPLIB,TSP,EUC_2D,442,2,16238088531389286532,51365,50778,1.156012,3007.781,110,31,90,0.920,0.340,0.350
att532,SYM,TSPLIB,TSP,ATT,532,0,15309475343181082,28345,27686,2.380264,3021.149,70,27,90,0.920,0.340,0.350
att532,SYM,TSPLIB,TSP,ATT,532,1,15309475344212959,28052,27686,1.321968,3000.536,83,31,90,0.920,0.340,0.350
att532,SYM,TSPLIB,TSP,ATT,532,2,15309475345179024,28311,27686,2.257459,3029.466,60,17,90,0.920,0.340,0.350
rat783,SYM,TSPLIB,TSP,EUC_2D,783,0,17275455113178401810,9144,8806,3.838292,3023.284,38,16,90,0.920,0.340,0.350
rat783,SYM,TSPLIB,TSP,EUC_2D,783,1,17275455113177434839,9124,8806,3.611174,3095.601,43,18,90,0.920,0.340,0.350
rat783,SYM,TSPLIB,TSP,EUC_2D,783,2,17275455113176467608,9166,8806,4.088122,3043.613,41,13,90,0.920,0.340,0.350
pr1002,SYM,TSPLIB,TSP,EUC_2D,1002,0,13179468774379914583,271651,259045,4.866336,3045.488,21,11,90,0.920,0.340,0.350
