instance,kind,source,type,edge_weight_type,dimension,opt_length,best_length,min_gap_percent,mean_gap_percent,max_gap_percent,mean_elapsed_ms,min_elapsed_ms,max_elapsed_ms,threshold_percent,threshold_ok,repetitions
ftv33,ASYM,TSPLIB_ATSP,ATSP,EXPLICIT,34,1286,1340,4.199067,5.883877666666667,8.087092,433.38033333333334,364.154,539.887,50.0,True,3
ft53,ASYM,TSPLIB_ATSP,ATSP,EXPLICIT,53,6905,7263,5.184649,7.694907333333333,9.543809,801.4133333333333,681.207,1010.397,50.0,True,3
ftv70,ASYM,TSPLIB_ATSP,ATSP,EXPLICIT,71,1950,2092,7.282051,8.119658,9.179487,982.8273333333333,848.79,1074.162,50.0,True,3
kro124p,ASYM,TSPLIB_ATSP,ATSP,EXPLICIT,100,36230,38801,7.096329,7.430306333333333,7.651118,2151.6383333333333,1399.105,2551.448,100.0,True,3
rbg323,ASYM,TSPLIB_ATSP,ATSP,EXPLICIT,323,1326,1450,9.351433,11.890397333333333,13.273002,3070.55,3002.726,3144.946,100.0,True,3
burma14,SYM,TSPLIB,TSP,GEO,14,3323,3323,0.0,0.0,0.0,69.50033333333333,66.651,73.59,0.0,True,3
ulysses22,SYM,TSPLIB,TSP,GEO,22,7013,7013,0.0,0.0,0.0,165.088,142.878,208.519,0.0,True,3
berlin52,SYM,TSPLIB,TSP,EUC_2D,52,7542,7542,0.0,0.0,0.0,217.77233333333334,150.979,295.688,50.0,True,3
eil76,SYM,TSPLIB,TSP,EUC_2D,76,538,538,0.0,0.0,0.0,371.69300000000004,293.274,517.392,100.0,True,3
kroA100,SYM,TSPLIB,TSP,EUC_2D,100,21282,21282,0.0,0.0,0.0,797.1479999999999,434.551,1483.214,100.0,True,3
ch130,SYM,TSPLIB,TSP,EUC_2D,130,6110,6128,0.294599,0.46917633333333336,0.818331,1044.8043333333333,629.079,1594.693,100.0,True,3
rat195,SYM,TSPLIB,TSP,EUC_2D,195,2323,2328,0.215239,0.430478,0.602669,2210.0086666666666,1419.863,3009.327,100.0,True,3
a280,SYM,TSPLIB,TSP,EUC_2D,280,2579,2579,0.0,0.051699666666666665,0.155099,3016.9266666666667,3002.976,3038.32,100.0,True,3
pcb442,SYM,TSPLIB,TSP,EUC_2D,442,50778,51365,1.156012,1.4953983333333334,1.770452,3006.7773333333334,3005.051,3007.781,100.0,True,3
att532,SYM,TSPLIB,TSP,ATT,532,27686,28052,1.321968,1.9865636666666666,2.380264,3017.050333333333,3000.536,3029.466,150.0,True,3
rat783,SYM,TSPLIB,TSP,EUC_2D,783,8806,9124,3.611174,3.8458626666666667,4.088122,3054.166,3023.284,3095.601,150.0,True,3
pr1002,SYM,TSPLIB,TSP,EUC_2D,1002,259045,270437,4.397692,4.822457,5.203343,3079.878333333333,3023.572,3170.575,150.0,True,3
pr2392,SYM,TSPLIB,TSP,EUC_2D,2392,378032,412920,9.228848,9.582257666666667,10.090416,3133.6896666666667,3070.933,3170.784,150.0,True,3
xqf131,VLSI,Waterloo_VLSI,TSP,EUC_2D,131,564,564,0.0,0.6501183333333334,1.77305,1091.061,904.131,1378.432,100.0,True,3
xqg237,VLSI,Waterloo_VLSI,TSP,EUC_2D,237,1019,1020,0.098135,0.26169433333333336,0.588813,2940.672666666667,2902.458,3006.756,100.0,True,3
pma343,VLSI,Waterloo_VLSI,TSP,EUC_2D,343,1368,1371,0.219298,0.48732933333333334,0.804094,3004.779,3002.502,3006.884,100.0,True,3
pka379,VLSI,Waterloo_VLSI,TSP,EUC_2D,379,1332,1336,0.3003,0.45045033333333334,0.675676,3011.792,3000.796,3033.7,100.0,True,3
bcl380,VLSI,Waterloo_VLSI,TSP,EUC_2D,380,1621,1626,0.308452,0.4729593333333333,0.555213,3008.5326666666665,3002.237,3017.504,100.0,True,3
xql662,VLSI,Waterloo_VLSI,TSP,EUC_2D,662,2513,2579,2.626343,3.3426183333333332,4.098687,3066.3603333333335,3011.087,3159.732,150.0,True,3
lim963,VLSI,Waterloo_VLSI,TSP,EUC_2D,963,2789,2920,4.697024,5.246803,5.844389,3061.4816666666666,3036.317,3075.131,150.0,True,3
dka1376,VLSI,Waterloo_VLSI,TSP,EUC_2D,1376,4666,4912,5.272182,6.3366196666666665,7.051007,3064.046333333333,3008.48,3101.728,150.0,True,3
djc1785,VLSI,Waterloo_VLSI,TSP,EUC_2D,1785,6115,6616,8.192968,8.803488666666667,9.860998,3159.226,3055.308,3253.581,150.0,True,3
xpr2308,VLSI,Waterloo_VLSI,TSP,EUC_2D,2308,7219,7821,8.339105,8.999399666666667,9.710486,3209.7093333333332,3050.936,3415.817,150.0,True,3
